Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
T1,16/08/2019,18:30,Denizlispor,Galatasaray,2,0,H,0,0,D,15,7,5,4,12,9,6,2,4,5,0,1,4.5,3.75,1.75,4.25,3.8,1.75,4.15,3.7,1.75,4.34,3.99,1.8,4,3.7,1.83,4.4,3.8,1.75,4.58,3.99,1.85,4.25,3.75,1.77,1.72,2.07,1.75,2.16,1.8,2.17,1.74,2.09,0.75,1.83,2.02,1.85,2.04,1.91,2.05,1.84,2.02,4.2,3.6,1.83,4.25,3.8,1.75,3.85,3.65,1.83,4.15,3.75,1.9,4,3.7,1.83,4.2,3.8,1.8,4.45,3.9,1.92,4.05,3.66,1.83,1.72,2.07,1.76,2.13,1.78,2.19,1.73,2.1,0.75,1.72,2.07,1.76,2.16,1.88,2.17,1.77,2.09
T1,17/08/2019,17:15,Genclerbirligi,Rizespor,0,1,A,0,0,D,8,11,1,5,16,14,4,2,4,2,1,0,2.1,3.3,3.5,2.1,3.3,3.4,2,3.25,3.55,2.08,3.53,3.7,2.05,3.4,3.5,2.05,3.4,3.6,2.13,3.58,3.75,2.06,3.36,3.51,2.05,1.75,2.04,1.84,2.13,1.84,2.05,1.76,-0.25,1.8,2.05,1.79,2.12,1.84,2.13,1.79,2.07,2.05,3.3,3.6,2.1,3.3,3.4,2.05,3.3,3.5,2.11,3.46,3.66,2.05,3.5,3.4,2.1,3.4,3.5,2.16,3.78,3.66,2.08,3.36,3.47,2.05,1.75,2.06,1.82,2.12,1.85,2.04,1.77,-0.25,1.83,2.02,1.82,2.08,1.89,2.14,1.82,2.04
T1,17/08/2019,19:45,Kayserispor,Alanyaspor,0,1,A,0,0,D,6,14,3,7,13,10,6,9,4,1,0,0,2.4,3.2,3,2.35,3.2,3,2.35,3.2,2.9,2.44,3.52,2.93,2.35,3.4,2.88,2.4,3.3,2.9,2.46,3.52,3.02,2.38,3.3,2.91,2.05,1.75,2.03,1.85,2.09,1.86,2.02,1.79,-0.25,2.05,1.8,2.11,1.79,2.12,1.84,2.07,1.79,4,3,2.05,3.1,3.25,2.25,3.25,3.2,2.15,3.55,3.37,2.19,3.3,3.2,2.2,3.4,3.3,2.15,4,3.37,2.33,3.32,3.25,2.18,2.05,1.75,2.05,1.83,2.09,1.84,2.03,1.78,0.25,2,1.85,2.02,1.88,2.07,1.94,1.96,1.88
T1,17/08/2019,19:45,Sivasspor,Besiktas,3,0,H,1,0,H,13,13,8,3,15,9,7,0,4,3,0,0,2.75,3.5,2.4,2.8,3.4,2.4,2.7,3.4,2.4,2.84,3.6,2.47,2.75,3.5,2.38,2.75,3.5,2.45,2.85,3.7,2.48,2.76,3.46,2.4,1.72,2.07,1.76,2.14,1.78,2.16,1.74,2.08,0,2.05,1.8,2.09,1.81,2.12,1.85,2.07,1.8,2.55,3.5,2.62,2.65,3.4,2.5,2.55,3.4,2.5,2.66,3.61,2.62,2.6,3.5,2.5,2.55,3.6,2.55,2.7,3.68,2.66,2.6,3.47,2.54,1.7,2.1,1.73,2.19,1.77,2.2,1.72,2.11,0,1.9,1.95,1.96,1.93,1.99,1.99,1.93,1.92
T1,18/08/2019,17:15,Konyaspor,Ankaragucu,0,0,D,0,0,D,23,9,4,1,7,14,4,1,0,2,0,0,1.72,3.5,5,1.75,3.5,4.75,1.73,3.45,4.7,1.76,3.59,5.21,1.73,3.5,4.8,1.73,3.6,5,1.85,3.7,5.21,1.75,3.51,4.78,2.1,1.7,2.12,1.77,2.2,1.78,2.1,1.72,-0.75,2,1.85,2.04,1.86,2.06,1.91,2,1.85,1.75,3.5,5,1.87,3.3,4.33,1.83,3.35,4.25,1.88,3.44,4.74,1.83,3.4,4.4,1.8,3.5,4.6,1.94,3.62,5,1.84,3.39,4.4,2.07,1.72,2.16,1.75,2.2,1.79,2.1,1.72,-0.5,1.83,2.02,1.88,2.02,1.93,2.06,1.84,2
T1,18/08/2019,19:45,Goztep,Antalyaspor,0,1,A,0,1,A,7,10,1,3,15,13,5,5,3,3,0,0,1.85,3.6,4,1.85,3.6,3.9,1.8,3.6,3.95,1.85,3.84,4.23,1.83,3.6,4,1.83,3.7,4.1,1.94,3.84,4.23,1.84,3.65,3.98,1.8,2,1.81,2.07,1.83,2.12,1.78,2.03,-0.5,1.85,2,1.85,2.04,1.9,2.06,1.85,2,1.61,3.8,5.5,1.7,3.75,4.75,1.65,3.7,4.9,1.67,3.94,5.41,1.67,3.7,5,1.65,3.8,5.4,1.76,3.95,5.5,1.66,3.77,4.99,1.95,1.85,2,1.88,2.01,1.91,1.93,1.86,-0.75,1.85,2,1.89,2.01,1.95,2.04,1.87,1.97
T1,18/08/2019,19:45,Kasimpasa,Trabzonspor,1,1,D,1,1,D,15,17,7,2,14,17,5,9,2,0,0,0,3.3,3.5,2.1,3.1,3.6,2.15,3.1,3.6,2.05,3.28,3.82,2.14,3.1,3.7,2.1,3.13,3.75,2.1,3.3,3.92,2.16,3.15,3.65,2.11,1.57,2.35,1.58,2.46,1.61,2.48,1.57,2.36,0.25,2,1.85,2.03,1.87,2.04,1.9,2,1.86,3.6,3.5,2,3.2,3.7,2.05,3.25,3.65,2,3.38,3.87,2.08,3.25,3.75,2,3.25,3.8,2.05,3.6,3.94,2.12,3.26,3.7,2.04,1.53,2.4,1.55,2.56,1.58,2.56,1.55,2.42,0.25,2.05,1.75,2.08,1.82,2.13,1.84,2.05,1.8
T1,18/08/2019,19:45,Yeni Malatyaspor,Buyuksehyr,3,0,H,0,0,D,9,15,5,4,11,15,2,11,3,2,0,1,3.5,3.25,2.1,3.3,3.3,2.15,3.4,3.2,2.1,3.55,3.41,2.17,3.4,3.3,2.1,3.4,3.3,2.15,3.55,3.5,2.21,3.35,3.29,2.15,2.07,1.72,2.13,1.77,2.21,1.78,2.11,1.72,0.25,2,1.85,2.03,1.87,2.03,1.91,1.99,1.86,4.5,3.4,1.85,3.9,3.4,1.91,3.95,3.45,1.85,4.18,3.76,1.89,4,3.6,1.85,4.2,3.6,1.83,4.5,3.76,1.93,3.99,3.55,1.87,1.9,1.9,1.87,2.01,2,2.01,1.9,1.89,0.5,2,1.85,2.01,1.89,2.06,1.93,1.97,1.87
T1,19/08/2019,18:00,Fenerbahce,Gaziantep,5,0,H,3,0,H,18,4,9,0,14,18,4,2,1,4,0,0,1.44,4.2,7.5,1.44,4.4,6.75,1.45,4.35,6.1,1.45,4.62,7.42,1.44,4.33,7,1.45,4.6,6.5,1.51,4.7,7.5,1.45,4.43,6.6,1.61,2.25,1.67,2.29,1.68,2.31,1.63,2.23,-1.25,2.05,1.8,2.08,1.83,2.08,1.87,2.03,1.82,1.53,4,6,1.53,4.25,5.5,1.57,4.15,5,1.57,4.42,5.69,1.53,4.2,5.5,1.55,4.33,5.4,1.59,4.48,6,1.55,4.22,5.41,1.57,2.35,1.56,2.51,1.62,2.51,1.56,2.39,-1,1.98,1.88,1.97,1.93,2.02,1.98,1.95,1.9
T1,23/08/2019,18:30,Besiktas,Goztep,3,0,H,1,0,H,8,12,4,3,19,9,8,3,1,1,0,0,1.44,4.2,7.5,1.5,4.1,6.25,1.47,4.2,6.1,1.51,4.38,6.67,1.47,4.33,6.5,1.45,4.4,7,1.52,4.54,7.5,1.48,4.26,6.37,1.75,2.05,1.78,2.12,1.81,2.14,1.75,2.06,-1,1.8,2.05,1.87,2.03,1.87,2.12,1.81,2.04,1.7,3.5,5,1.65,3.9,4.75,1.7,3.7,4.4,1.75,3.78,4.98,1.52,4,6,1.73,3.8,4.6,1.78,3.96,5.05,1.7,3.77,4.7,1.72,2.07,1.79,2.1,1.82,2.16,1.76,2.05,-0.75,1.95,1.9,1.98,1.93,2.04,1.99,1.93,1.92
